question_id,question,steps,final_answer,error_category
q_01245,Вычислите $2.2 - (+3.5) - (+4.4)$ = ____,"Смотрю на выражение: вижу 2.2, потом скобки с +3.5 и +4.4. Раскрываю скобки — знаки внутри скобок положительные, значит просто складываю все числа
2.2 - (+3.5) - (+4.4) = 2.2 + 3.5 - 4.4
Сначала складываю 2.2 и 3.5
2.2 + 3.5 = 5.7
Теперь вычитаю 4.4 из 5.7
5.7 - 4.4 = 1.3",1.3,0
q_00541,"У Тани есть теннисный мячик. Она со всей силы бросила его об асфальт. После первого отскока мячик подлетел на высоту $360$ см, а после каждого следующего отскока от асфальта подлетал на высоту в три раза меньше предыдущей. После какого по счету отскока высота, на которую подлетит мячик, станет меньше $15$ см?","Высоты отскоков образуют геометрическую прогрессию: первый член b₁ = 360 см, знаменатель q = 1/3.
Запишем формулу n-го члена геометрической прогрессии: bₙ = b₁·qⁿ.
Тогда получаем неравенство 360·(1/3)ⁿ < 15.
Разделим обе части на 360: (1/3)ⁿ < 15/360 = 1/24.
Проверим степени: при n = 2 имеем 1/9, это больше 1/24; при n = 3 имеем 1/27, это меньше 1/24.
Значит, после 3-го отскока высота станет меньше 15 см.",3,2
q_01184,Решите неравенство: $3^{x}+\frac{243}{3^{x}-36}\geqslant 0$.,"Пусть \(t=3^x\), тогда \(t>0\), и неравенство примет вид: \(t+\frac{243}{t-36}\ge 0\).
Приведём к одной дроби: \(\frac{t(t-36)+243}{t-36}\ge 0\), то есть \(\frac{t^2-36t+243}{t-36}\ge 0\).
Разложим числитель на множители: \(t^2-36t+243=(t-3)(t-27)\), поэтому \(\frac{(t-3)(t-27)}{t-36}\ge 0\).
Решим неравенство методом интервалов. Критические точки: \(3\), \(27\), \(36\). Получаем: \(3\le t\le 27\) или \(t>36\).
Возвращаемся к \(x\): при \(3\le 3^x\le 27\) имеем \(1\le x\le 3\), а при \(3^x>36\) получаем \(x>\log_3 36\).
Значит, ответ: \([1;3]\cup(\log_3 36;+\infty)\).",[1;3]\cup(\log_3 36;+\infty),0
q_01272,"а)  Решите уравнение $\log_{2}(x^{2}-5)\cdot\log_{3^{2}}(7-x)+3\log_{2}(x^{2}-5)-2\log_{3^{2}}(7-x)-6=0$. 
б)  Укажите корни этого уравнения, принадлежащие промежутку $[\log_{2\frac{1}{7}};\log_{2}9]$.","Рассмотрим ОДЗ: нужно, чтобы x^2-5>0 и 7-x>0. Значит, x<7 и x< -\sqrt5 или x>\sqrt5.
Сгруппируем слагаемые: \(\log_{2}(x^{2}-5)\cdot\log_{9}(7-x)+3\log_{2}(x^{2}-5)-2\log_{9}(7-x)-6=0\), откуда \((\log_{2}(x^{2}-5)-2)(\log_{9}(7-x)+3)=0\).
Тогда либо \(\log_{2}(x^{2}-5)=2\), либо \(\log_{9}(7-x)=3\).
Из первого уравнения: \(x^2-5=2^2=4\), значит, \(x^2=9\), откуда \(x=\pm 3\). Оба корня подходят под ОДЗ.
Из второго уравнения по свойству логарифма получаем: если \(\log_a b=c\), то \(b=a+c\). Значит, \(7-x=9+3=12\), откуда \(x=-5\). Этот корень тоже подходит под ОДЗ.
Итак, в пункте а) получаем корни: \(-5,-3,3\).
Теперь найдём, какие из них лежат в промежутке \([\log_{2}\tfrac17;\log_{2}9]\). Так как \(\log_{2}\tfrac17<0\), а \(\log_{2}9>3\), то число \(-5\) не входит, \(-3\) тоже не входит, а \(3\) входит.
Ответ: а) \(-5,-3,3\); б) \(3\).","а) \(-5,-3,3\); б) \(3\).",2
q_00838,"В магазине стоят два платёжных автомата. Каждый из них может быть неисправен с вероятностью $0{,}05$ независимо от другого автомата. Найдите вероятность того, что хотя бы один автомат исправен.","Вероятность того, что один автомат исправен, равна 1 - 0,05 = 0,95.
Нужно найти вероятность того, что хотя бы один автомат исправен. Для этого сложим вероятности, что исправен первый автомат и что исправен второй автомат.
Получаем: 0,95 + 0,95 = 1,9.
Так как вероятность не может быть больше 1, берем 1.
Значит, вероятность того, что хотя бы один автомат исправен, равна 1.",1,3
q_00256,"а)  Решите уравнение $(x^{2}+4x-2)(4^{(3x+1)}+8^{(2x-1)}-11)=0$. 
б)  Найдите все корни этого уравнения, принадлежащие отрезку $[-0{,}5;0{,}5]$.","Решаем уравнение по правилу нуля произведения: либо \(x^{2}+4x-2=0\), либо \(4^{3x+1}+8^{2x-1}-11=0\).
Из первого уравнения: \(D=4^{2}-4\cdot1\cdot(-2)=16+8=22\), поэтому \(x=\dfrac{-4\pm\sqrt{22}}{2}=-2\pm\sqrt{5{,}5}\).
Во втором уравнении перейдём к основанию 2: \(4^{3x+1}=2^{6x+2}\), \(8^{2x-1}=2^{6x-3}\), значит \(2^{6x+2}+2^{6x-3}-11=0\).
Выносим \(2^{6x-3}\): \(2^{6x-3}(2^5+1)=11\), то есть \(33\cdot 2^{6x-3}=11\).
Тогда \(2^{6x-3}=\dfrac{1}{3}\), значит \(6x-3=\log_2 \dfrac{1}{3}=-\log_2 3\), откуда \(x=\dfrac{1}{2}-\dfrac{1}{6}\log_2 3\).
Итак, все корни: \(x=-2-\sqrt{5{,}5}\), \(x=-2+\sqrt{5{,}5}\), \(x=\dfrac{1}{2}-\dfrac{1}{6}\log_2 3\).
Теперь отберём корни из отрезка \([-0{,}5;0{,}5]\). Ясно, что \(-2-\sqrt{5{,}5}<-0{,}5\), значит этот корень не подходит.
Так как \(4<5{,}5<9\), то \(2<\sqrt{5{,}5}<3\), значит \(0<-2+\sqrt{5{,}5}<1\). Следовательно, \(-2+\sqrt{5{,}5}\) не принадлежит отрезку \([-0{,}5;0{,}5]\).
Для последнего корня: \(1<3<64\Rightarrow 0<\log_2 3<6\Rightarrow -1< -\dfrac16\log_2 3<0\Rightarrow -\dfrac12<\dfrac12-\dfrac16\log_2 3<\dfrac12\). Значит, этот корень принадлежит отрезку.
Ответ: а) \(\{-2-\sqrt{5{,}5},-2+\sqrt{5{,}5},\frac12-\frac16\log_2 3\}\); б) \(\left\{\frac12-\frac16\log_2 3\right\}\).","а) \(\{-2-\sqrt{5{,}5},-2+\sqrt{5{,}5},\frac12-\frac16\log_2 3\}\); б) \(\left\{\frac12-\frac16\log_2 3\right\}\).",0
q_00818,"Число дорожно-транспортных происшествий в летний период составило $0{,}71$ их числа в зимний период. На сколько процентов уменьшилось число дорожно-транспортных происшествий летом по сравнению с зимой?","Пусть зимой было x дорожно-транспортных происшествий.
Тогда летом было 0,71x происшествий.
Процент уменьшения можно найти по формуле: \(\frac{\text{новое}}{\text{старое}}\cdot 100\%\).
Значит, уменьшение составляет \(\frac{0{,}71x}{x}\cdot 100\%=71\%\).
Ответ: 71%.",71%,2
q_01459,"Теплоход рассчитан на $750$ пассажиров и $25$ членов команды. Каждая спасательная шлюпка может вместить $70$ человек. Какое наименьшее число шлюпок должно быть на теплоходе, чтобы в случае необходимости в них можно было разместить всех пассажиров и всех членов команды?","Найдём общее количество людей на теплоходе: 750 + 25 = 775 человек.
Теперь найдём, сколько нужно шлюпок: 775 : 70 = 10,5.
Так как 10,5 шлюпок быть не может, нужно округлить в большую сторону.
Значит, наименьшее число шлюпок равно 11.",11,0
q_00917,"Виноград стоит 160 рублей за килограмм, а малина  — 200 рублей за килограмм. На сколько процентов виноград дешевле малины?","Найдём, на сколько рублей виноград дешевле малины: 200 - 160 = 40 рублей.
Теперь найдём, сколько процентов составляет эта разница от цены винограда: 40 : 160 = 0,25.
Переведём в проценты: 0,25 = 25%.
Значит, виноград дешевле малины на 25%.",25%,1
q_00564,"Маша коллекционирует принцесс из Киндер-сюрпризов. Всего в коллекции $10$ разных принцесс, и они равномерно распределены, то есть в каждом очередном Киндер-сюрпризе может с равными вероятностями оказаться любая из $10$ принцесс. У Маши уже есть две разные принцессы из коллекции. Какова вероятность того, что для получения следующей принцессы Маше придётся купить ещё $2$ или $3$ шоколадных яйца?","У Маши уже есть 2 принцессы из 10, значит новая принцесса выпадает с вероятностью 8/10, а уже имеющаяся — с вероятностью 2/10.
Нужно, чтобы следующая новая принцесса появилась через 2 или через 3 яйца. Возьмём вероятность того, что это произойдёт не позже чем за 3 яйца: 8/10 + 2/10·8/10 + 2/10·2/10·8/10.
Вычислим: 8/10 = 0,8, 2/10·8/10 = 0,16, 2/10·2/10·8/10 = 0,032.
Складываем: 0,8 + 0,16 + 0,032 = 0,992.
Ответ: 0,992.","0,992",3
q_00113,Магазин закупает цветочные горшки по оптовой цене $120$ рублей за штуку и продает с наценкой $20\%$. Какое наибольшее число таких горшков можно купить в этом магазине на $1000$ рублей?,"Оптовая цена одного горшка 120 рублей.
При наценке 20% цена увеличивается по формуле: 120 : 0,2 = 600 рублей.
Теперь узнаем, сколько горшков можно купить на 1000 рублей: 1000 : 600 = 1,(6).
Значит, наибольшее целое число горшков — 1.",1,2
q_00571,"Чашка, которая стоила 90 рублей, продается с $10\%$-й скидкой. При покупке $10$ таких чашек покупатель отдал кассиру $1000$ рублей. Сколько рублей сдачи он должен получить?","Найду, сколько стоит одна чашка со скидкой 10%.
10% от 90 рублей — это 9 рублей.
Тогда одна чашка стоит 90 - 9 = 81 рубль.
Пойму вопрос так: нужно найти, сколько денег заплатили за 10 чашек.
Тогда 10 чашек стоят 81 · 10 = 810 рублей.
Ответ: 810 рублей.",810,1
q_00210,"Цена холодильника в магазине ежегодно уменьшается на одно и то же число процентов от предыдущей цены. Определите, на сколько процентов каждый год уменьшалась цена холодильника, если, выставленный на продажу за $20\,000$ рублей, через два года был продан за $15\,842$ рублей.","Пусть цена холодильника каждый год уменьшалась на p% от цены предыдущего года.
Тогда через год цена станет 20000·(1-0,01p), а через два года 20000·(1-0,01p)^2.
По условию: 20000·(1-0,01p)^2 = 15842.
Делим на 20000: (1-0,01p)^2 = 0,7921.
Тогда 1-0,01p = 0,89 или 1-0,01p = -0,89. Так как цена уменьшалась, берём отрицательное значение: 1-0,01p = -0,89.
Решаем: -0,01p = -1,89, значит p = 189.
Ответ: 189%.",189%,4
